FACTORS
-------
Second_Skill 500
Third_Skill  300
17 750
18 500
19 250
21 750
23 900
24 800
25 700
26 600
27 500
28 400
29 300
31 750
32 500
33 250
34 100
35 50
36 0
37 0
38 0

VALUES
SKILL   VALUE(AGE 16) VALUE(AGE 20) VALUE(AGE 22)  VALUE(AGE 30) WAGE
1            0            0            0            0            100
2            0            0            0            0            100
3            0            0            0            0            100
4            0            0            0            0            100
5            0            0            0            0            100
6            0            0            0            0            100
7            0            0            0            0            100
8            0            0            0            0            100
9            0            0            0            0            100
10           0            0            0            0            100
11           100          0            0            0            500
12           250          0            0            0            1000
13           2500         0            0            0            1500
14          *6500         750          0            0           *6000
15           9000         1500         375          0            2500
16                        2500         1000         0           *9500
17           20000        3500         2000         500          10000
18           30000       *1300         2000         750         *14000
19           52500        11000        5000         1000         24000
20           67500        18750        12000        1500        *27000
21           67500        22500        15000        2250         30000
22           67500        26250        18000        3100         33000
23           67500        30000        20250        3375         36000
24           67500        33750        22500        3650         39000
25           67500        37500        24750        3840         42000
26           67500        37500        26000        4500         45000
27           67500        37500        28000       *45000       *108000
28           67500        37500        30000        7500         45000
29           67500        37500        33000        9000         45000
30           67500        37500        33000        9000         45000
31           67500        37500        33000        9000         45000
32           67500        37500        33000        9000         45000
33           67500        37500        33000        9000         45000
34           67500        37500        33000        9000         45000
