Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
J_Reina       22 spa 28  2  3  1 18 561 300 300 300  18   0 1688   1 172  30   0   0   0   0   0   0   0   0 100
P_Bonner      28 ire 25  1  3  3 21 704 400 400 400  10   0  955   0  85  18   0   0   0   0   0   0   0   0 100
E_Johnson     29 eng  1 25  8  5 31 300 335 250 758  19   0 1756   0   0   0  28  15  10   0   1   4   0   0  90
L_Inagzij     26 ita  1 23 10  6 11 400 371 536 410  19   0 1769   0   0   0  31  18  12   0   0   0   0   0  93
B_McNeill     35 sco  2 23 10 10 31 300 523 705 213  18   1 1555   0   0   0  22   7  15   1   0  18   0   0  90
A_Wisdom      27 eng  2 22 19  8 34 300 725 934 409  17   1 1401   0   0   0  15  18   8   0   2   6   0   0  90
A_Pereira     30 ury  2 22  8  8 27 700 101 780 782  12   0 1034   0   0   0  15   6  15   1   0   0   0   0 100
S_Irwin       25 eng  2 20 12  8 29 300 234 564  13  11   1  938   0   0   0  19  12  13   1   0  18   0   0  98
Ludovic       35 fra  2  1 27  1 25 300 466 479 600  21   1 1788   0   0   0   0  48   1   0   1   2   0   0 100
I_Jesus       30 spa  2  6 24  7 25 300 728 238  21  10   4  582   0   0   0   3  10   3   1   0  20   0   0 100
S_Perrotta    32 ita  2  8 23 17 27 303 412 514 705  17   6 1172   0   0   0   6  26  19   0   0   6   0   0 100
V_Wanyama     27 ken  1  6 23 17 19 300 973 828 632  18   1 1573   0   0   0   5  27  31   1   0   4   0   0  96
J_Navas       25 spa  2  6 23 13 28 800 788 184 833  14   2 1031   0   0   0   3  38  27   2   5  12   0   0 100
S_Davis       27 sco  1  3 23 11 35 300 920 636 295   9   6  367   0   0   0   0   8   4   1   0   0   0   0 100
M_Saganowski  29 pol  1  9 23  7 19 300 217 138 439   6   5  189   0   0   0   0   5   2   0   0   0   0   0 100
Doriva        17 bra  2 16 19  8 21 800 920  41 888  11   2  821   1   0   0   5  22  10   2   0   0   0   0  98
A_Anyukov     26 rus  1  8  4 24 35 300 865 630 857  17   1 1406   0   0   0   3   2  47   5   0   6   0   0 100
D_Sulejmani   27 spa  1  2 16 23 36 300 431 338 755  17   0 1569   2   0   0   2  19  60   4   0   4   0   0 100
M_De_Cala     24 ger  2  9  6 23 45 300 622 553  23   9   3  596   1   0   0   3   5  31   1   1   6   0   0 100
Bebeto        22 bra  3  6 10 15 44 300 741 762 819   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
