C_Abbiati	34	ita	17	2	7	6	10	21	80	185	170
M_Amelia	29	ita	15	2	5	6	12	363	170	105	120
F_Roma	37	ita	14	3	4	4	12	313	80	195	100
Gabriel	19	bra	12	2	4	4	10	303	80	130	120
P_Mexes	29	fra	2	16	14	9	15	68	645	526	248
I_Abate	24	ita	2	16	14	9	15	68	797	611	278
L_Antonini	29	ita	2	15	14	6	8	68	763	537	250
D_Bonera	30	ita	2	14	11	9	14	68	657	432	295
M_Yepes	35	col	2	14	11	9	14	68	736	401	338
C_Zaccardo	30	ita	3	14	10	7	14	78	533	408	228
D_Vila	23	spa	2	14	12	8	11	68	386	305	59
M_De_Sciglio	21	ita	2	13	10	4	8	68	385	240	130
B_Salamon	21	pol	3	12	11	8	12	68	355	280	215
R_Montolivo	27	ita	3	10	17	10	14	68	546	846	564
K_P_Boateng	25	gha	2	4	16	14	8	48	145	689	501
S_El_Shaarawy	19	ita	2	7	16	15	9	68	210	767	572
S_Muntari	28	gha	1	12	15	9	13	58	456	751	442
R_Van_Persie	29	hol	2	5	17	18	10	90	295	697	823
A_Nocerino	27	ita	3	12	14	10	15	68	360	413	264
B_Traore	27	mal	2	12	14	8	11	68	330	400	211
M_Flamini	28	fra	3	11	14	9	14	68	366	368	293
K_Constant	25	gui	3	12	14	9	15	68	365	400	235
M_Ambrosini	35	ita	2	12	14	8	14	68	350	412	235
B_Cristante	17	ita	2	10	11	6	9	68	275	315	170
M_Balotelli	22	ita	2	9	14	18	16	68	331	596	814
Robinho	28	bra	2	7	9	15	14	58	207	346	629
G_Pazzini	28	ita	2	5	14	15	11	58	171	473	674
M_Niang	19	fra	2	7	10	14	12	58	175	336	465
K_J_Huntelaar	29	hol	2	9	14	18	11	66	275	531	843
D_Hoesen	21	hol	2	7	14	15	10	66	215	537	566
R_Babel	25	hol	2	5	14	14	16	56	175	466	546
L_Narsingh	21	hol	2	9	12	14	11	66	296	484	498
N_Moisander	26	fin	2	15	10	8	18	66	831	390	352
D_Kuyt	31	hol	2	8	12	14	12	66	259	430	574
J_Lens	24	hol	2	9	11	14	14	66	363	398	581
N_Boilesen	20	den	2	12	9	4	8	66	546	272	206
R_Wolfswinkel	23	hol	2	8	11	14	11	64	313	374	629
L_Castaignos	19	hol	2	7	11	14	12	60	145	345	526
A_Robben	28	hol	2	9	16	13	12	70	297	651	638
J_Locadia	18	hol	2	9	12	13	14	66	283	328	361
C_Poulsen	32	den	2	12	15	6	12	66	467	562	299
L_Schone	26	den	2	10	15	9	16	66	378	589	286
C_Eriksen	20	den	1	10	16	12	8	46	255	679	438
M_Depay	18	hol	2	9	12	13	11	66	286	396	452
W_Verhoek	25	hol	2	8	12	13	14	66	358	595	680
M_Sulejmani	23	ser	2	9	14	11	14	66	285	604	352
V_Fischer	18	den	2	9	14	11	10	66	297	522	420
J_P_Boetius	18	hol	2	8	12	13	11	66	220	396	434
T_Serero	22	saf	2	7	13	11	13	66	166	376	306
R_Schaken	30	hol	2	8	11	13	12	66	218	308	454
R_Beerens	24	hol	2	6	11	13	10	60	145	449	680
I_Boccara	19	fra	2	10	12	5	11	66	311	316	261
K_Sigborsson	22	ice	2	7	10	14	12	56	233	464	751
L_Andersen	17	den	2	7	10	12	13	66	201	341	372
T_Sana	23	swe	2	7	10	12	13	66	231	291	418
J_John	23	hol	2	6	11	13	15	60	200	467	548
Victor	29	bra	15	2	5	3	11	395	60	110	100
Giovanni	25	bra	13	4	8	3	9	365	60	155	70
Lee	24	bra	12	2	4	4	13	315	60	110	100
Renan_Riberio	22	bra	13	2	5	3	12	285	60	110	100
Marcos_Rocha	23	bra	2	14	10	7	12	60	365	250	190
L_Silva	33	bra	2	14	11	8	13	60	385	285	195
Rever	27	bra	2	15	11	7	12	60	395	275	190
Julio_Cesar	30	bra	2	13	11	7	13	60	375	280	185
Gilberto	35	bra	2	14	11	8	13	60	385	285	195
Carlos_Cesar	28	bra	2	12	10	8	11	60	335	250	190
R_Marques	28	bra	2	14	10	7	12	60	335	250	175
Michel_Macedo	22	bra	2	13	10	6	12	60	375	280	155
L_Donizete	30	bra	2	10	13	6	13	60	265	280	185
Pierre	30	bra	2	12	14	6	12	60	325	375	170
Ronaldinho	32	bra	2	10	16	13	12	60	265	410	335
Bernard	19	bra	2	8	15	13	13	60	265	380	275
Serginho	25	bra	2	10	13	10	14	60	300	355	285
Richarlyson	29	bra	2	10	13	8	11	60	300	355	175
Morais	27	bra	2	8	13	10	15	60	205	385	240
Rosenei	29	bra	2	10	13	9	12	60	300	355	255
Nicao	19	bra	2	10	13	10	9	60	300	355	285
Mancini	31	bra	2	10	13	10	11	60	260	355	295
Guilherme	23	bra	2	6	11	14	15	60	110	235	375
Jo	25	bra	2	6	12	14	12	60	110	255	375
Neto_Berola	24	bra	2	6	9	14	10	60	110	215	375
Araujo	34	bra	2	7	11	14	11	60	140	260	385
Alecsandro	31	bra	2	7	12	13	11	60	140	280	385
Luan	21	bra	2	6	11	12	14	60	130	205	310
S_Proto	23	bel	15	2	4	6	10	61	101	171	116
T_Kaminski	19	bel	12	2	4	4	9	301	76	126	116
O_Deschacht	31	bel	2	14	10	7	13	66	731	522	302
C_Kouyate	22	bel	2	14	11	8	9	66	590	423	260
M_Emnes	24	hol	2	6	10	13	12	76	223	398	463
R_Juhasz	30	hun	2	14	10	6	15	66	616	488	176
O_Hawsawi	29	sau	2	13	10	7	13	66	649	421	387
D_Odoi	24	bel	2	13	10	7	13	66	482	398	312
G_Molins	25	swe	2	13	10	7	11	66	500	435	327
B_Safari	27	swe	2	13	11	7	13	66	522	398	223
M_Wasilewski	32	pol	2	13	10	6	12	66	442	334	136
A_V_Den_Boore	24	bel	2	13	10	7	13	66	383	301	221
M_Heylen	18	bel	2	11	10	8	13	66	291	236	176
B_Godeau	21	bel	2	10	9	8	11	66	291	211	181
