Name	Age	Nat	St	Tk	Ps	Sh	Ag	KAb	TAb	PAb	SAb		Team
Gabriel	19	bra	12	2	4	4	10	303	80	130	120	#	ACMilan*
C_Zaccardo	30	ita	3	14	10	7	14	78	533	408	228	#	ACMilan
B_Salamon	21	pol	3	12	11	8	12	68	355	280	215	#	ACMilan*
M_Flamini	28	fra	3	11	14	9	14	68	366	368	293	#	ACMilan
B_Cristante	17	ita	2	10	11	6	9	68	275	315	170	#	ACMilan*
K_Vermeer	26	hol	17	2	7	6	10	283	76	181	166	#	AFCAjax
M_Sulejmani	23	ser	2	9	14	11	14	66	285	604	352	#	AFCAjax
F_Sporkslede	19	hol	3	9	13	11	13	66	244	365	299	#	AFCAjax*
D_Klassen	19	hol	2	7	13	12	12	66	236	468	470	#	AFCAjax*
B_Safari	27	swe	2	13	11	7	13	66	522	398	223	#	RSCAnderlecht
M_Wasilewski	32	pol	2	13	10	6	12	66	442	334	136	#	RSCAnderlecht
M_Heylen	18	bel	2	11	10	8	13	66	291	236	176	#	RSCAnderlecht*
D_Veselinovic	26	ser	2	8	11	10	11	66	251	306	271	#	RSCAnderlecht
M_Bedi	29	drc	2	10	11	5	9	66	271	311	126	#	RSCAnderlecht
F_Canesin	20	bra	2	6	11	10	16	66	166	311	271	#	RSCAnderlecht*
M_Jovanovic	31	ser	2	9	12	13	13	66	326	359	460	#	RSCAnderlecht
T_De_Sutter	27	bel	2	9	12	13	13	66	316	453	405	#	RSCAnderlecht
S_Serderov	18	rus	2	6	9	11	10	60	100	262	341	#	AnzhiMachachkala
Joao_Carlos	30	bra	2	13	10	7	11	65	678	475	204	#	AnzhiMachachkala
P_Konstantinu	27	cyp	10	2	3	4	12	219	72	107	112	#	APOEL
Mario_Sergio	31	por	2	12	9	9	12	64	842	422	472	#	APOEL
D_Biton	25	isl	2	8	10	12	13	64	328	407	657	#	APOEL
Miranda	27	bra	2	16	12	4	13	68	716	611	221	#	AtleticoMadrid
C_Rodriguez	26	uru	2	9	15	10	14	68	378	562	382	#	AtleticoMadrid
R_Falcao	26	col	2	5	17	18	10	48	247	704	909	#	AtleticoMadrid
D_Gorter	24	hol	2	12	10	7	12	60	582	461	316	#	AZAlkmaar
M_Martens	26	bel	2	8	14	11	10	60	302	522	283	#	AZAlkmaar
K_Lucassen	18	hol	2	5	8	10	12	60	115	185	225	#	AZAlkmaar
G_Deulofeu	18	spa	2	8	14	12	11	60	220	370	330	#	FCBarcelona*
C_Tello	21	spa	2	8	10	15	11	70	353	344	496	#	FCBarcelona*
M_Bartra	21	spa	3	14	10	7	14	80	379	339	231	#	FCBarcelona
Montoya	21	spa	2	14	11	8	9	70	416	304	239	#	FCBarcelona*
J_Dos_Santos	22	mex	2	9	14	11	13	70	244	384	314	#	FCBarcelona
R_Kovac	32	cze	2	10	9	8	12	64	277	227	207	#	FCBasel1893
D_Jevtic	19	swi	2	9	11	10	13	64	222	287	227	#	FCBasel1893*
