Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
F_Fielding    24 eng 13  2  4  4 11 575 121 176 166  20   0 1891   0  52  15   0   0   0   0   0   0   0   0 100
A_Legzinds    25 eng 12  2  4  4 10 307 126 176 166   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Deeney      30 ire 12  2  3  4 10 257 126 136 166   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Freeman     20 wal  2 11  9  6 13  82 311 261 191   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Brayford    24 eng  3 13 10  8 12  92 445 376 264  16   0 1511   1   0   0  17  11   9   1   2   4   0   0 100
G_Roberts     34 wal  2 12  9  4  8  82 470 305 227  18   3 1284   1   0   0  16   8   5   1   0   4   0   0 100
J_Buxton      27 eng  2 12  9  5 10  82 545 362 250   9   5  586   2   0   0  10   3   5   1   0   0   0   0  93
R_Keogh       26 ire  2 14 10  7 13  82 497 478 269  18   0 1681   1   0   0  11  14   8   1   2   4   0   0  83
M_O'Brien     19 ire  2 12  9  5  9  82 417 312 193   3   0  285   1   0   0   2   1   2   0   0   0   0   0 100
J_O'Connor    27 ire  2 12  9  5 10  82 400 261 186   4   0  312   0   0   0   2   0   0   0   0   0   0   0 100
T_Naylor      22 eng  2 11  9  6 12  82 356 271 196   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Gorkaj      20 alb  2 11 10  6 15  82 356 301 196   4   3  151   0   0   0   0   0   1   0   0   0   0   0 100
M_Hoganson    18 eng  2 11 10  6 11  82 355 308 183   3   1  142   0   0   0   0   1   0   0   0  10   0   0 100
J_Hanson      18 eng  2 11 10  6 10  82 408 326 198   4   2  186   0   0   0   3   2   2   0   0   0   0   0 100
J_Lelan       17 eng  2 10  8  6 12  82 306 226 191   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Barker      29 eng  2 14 10  7  8  82 540 416 319  17   0 1608   1   0   0   9   9  14   1   1   4   0   0  93
C_Bryson      25 sco  2  9 14 10 15  82 348 510 393  17   0 1606   1   0   0   9  25  11   1   1   4   0   0  86
J_Bailey      23 eng  3  9 12 10 15  82 323 440 345   6   0  548   0   0   0   1   7   3   0   0   4   0   0 100
P_Coutts      24 sco  3  9 13 11 12  92 332 490 339  17   1 1545   0   0   0   8  17  11   0   0   0   0   0  93
J_Hendrick    20 ire  3  9 13 11 14  92 323 519 375  18   0 1616   0   0   0   4  22  18   2   3   0   0   0  90
M_Jacobs      20 eng  2  9 13 11 10  82 336 511 407  17   1 1500   1   0   0   6  19  16   4   0  10   0   0  86
B_Davies      31 eng  2  8 12  9 16  82 276 406 298   4   1  233   0   0   0   0   2   3   0   0   0   0   0 100
W_Hughes      17 eng  3  9 12 10 13  82 291 396 321   5   2  383   0   0   0   0   4   2   0   0   0   0   0 100
N_Tyson       31 eng  2  6 10 11 13  82 245 337 351   2   0  140   0   0   0   1   1   2   0   0   0   0   0 100
J_Ward        26 nir  2  6 11 13 14  72 196 454 487  16   0 1494   1   0   0   1  10  27   2   1   4   0   0  99
T_Robinson    24 jam  2  7 10 12 11  82 254 330 428  13   1 1014   0   0   0   2   3  17   0   0   0  17   0 100
C_Doyle       20 usa  2  6  9 11 10  82 206 261 341   2   1  144   0   0   0   1   0   0   0   0   0   0   0 100
M_Bennett     20 eng  2  6 10 11 12  82 191 306 336   2   1   94   0   0   0   0   0   0   0   0   0   0   0 100
C_Sammon      25 eng  2  7 10 12 11  82 240 323 407   9   2  771   0   0   0   1   4  15   0   0   0   0   0 100
C_Ball        19 eng  2  6  8 11 12  82 200 241 351   1   1   50   0   0   0   1   0   0   0   0   0   0   0 100
